,Date,Low,High,Close,Open
746,2002-10-22,88.52,90.01,89.52,89.05
745,2002-10-21,87.57,90.5,90.17,88.12
744,2002-10-18,86.93,89.11,88.64,87.65
743,2002-10-17,87.85,89.3,88.27,88.87
742,2002-10-16,85.92,87.8,86.55,87.41
741,2002-10-15,86.85,88.72,88.7,86.99
740,2002-10-14,83.04,84.85,84.63,83.2
739,2002-10-11,81.82,84.73,84.16,82.1
738,2002-10-10,77.07,81.07,80.63,77.94
737,2002-10-09,77.78,79.7,78.1,79.09
736,2002-10-08,78.2,81.31,80.37,79.81
735,2002-10-07,78.55,81.2,79.13,80.06
734,2002-10-04,79.58,82.92,80.8,82.8
733,2002-10-03,81.95,84.6,82.31,83.14
732,2002-10-02,82.6,85.53,83.15,84.69
731,2002-10-01,81.47,85.77,85.72,82.43
730,2002-09-30,80.9,82.8,81.79,82.0
729,2002-09-27,82.75,85.63,82.75,85.0
728,2002-09-26,84.45,85.97,85.73,85.02
727,2002-09-25,82.04,84.77,84.35,83.37
726,2002-09-24,81.85,83.65,82.31,82.44
725,2002-09-23,82.69,84.06,83.66,83.65
724,2002-09-20,84.05,85.2,84.35,84.92
723,2002-09-19,84.7,86.8,84.7,85.99
722,2002-09-18,86.28,88.5,86.95,87.01
721,2002-09-17,87.75,91.19,87.83,90.89
720,2002-09-16,88.46,89.89,89.89,89.31
719,2002-09-13,88.25,89.9,89.67,88.69
718,2002-09-12,88.99,90.84,89.45,90.75
717,2002-09-11,91.1,93.33,91.13,92.47
716,2002-09-10,90.56,91.78,91.7,91.14
715,2002-09-09,88.8,91.35,90.66,89.1
714,2002-09-06,89.34,90.57,90.0,89.75
713,2002-09-05,87.5,89.43,88.78,88.49
712,2002-09-04,88.06,90.25,89.54,88.61
711,2002-09-03,88.15,91.0,88.28,90.73
710,2002-08-30,91.4,93.39,91.78,91.68
709,2002-08-29,90.81,93.05,92.14,91.27
708,2002-08-28,91.8,93.49,92.1,93.28
707,2002-08-27,93.5,96.25,94.16,95.7
706,2002-08-26,93.5,95.64,95.26,94.91
